Name,Menores bajo el nivel de pobreza [2021],PosiciÃ³n: Menores bajo el nivel de pobreza [2021],Mediana de ingresos de familias con menores [2021],PosiciÃ³n: Mediana de ingresos de familias con menores [2021],Jóvenes entre 16 y 19 años no matriculados y sin empleo [2021],PosiciÃ³n: Jóvenes entre 16 y 19 años no matriculados y sin empleo [2021],Familias con menores y al menos un padre sin empleo  [2021],PosiciÃ³n: Familias con menores y al menos un padre sin empleo  [2021],Mediana de ingresos de familias con menores [2019],Menores bajo el nivel de pobreza [2019],Jóvenes entre 16 y 19 años no matriculados y sin empleo [2019],Familias con menores y al menos un padre sin empleo  [2019],Menores bajo el nivel de pobreza [2018],Mediana de ingresos de familias con menores [2018],Jóvenes entre 16 y 19 años no matriculados y sin empleo [2018],Familias con menores y al menos un padre sin empleo  [2018],Menores bajo el nivel de pobreza [2017],Mediana de ingresos de familias con menores [2017],Jóvenes entre 16 y 19 años no matriculados y sin empleo [2017],Familias con menores y al menos un padre sin empleo  [2017],Menores bajo el nivel de pobreza [2016],Mediana de ingresos de familias con menores [2016],Jóvenes entre 16 y 19 años no matriculados y sin empleo [2016],Familias con menores y al menos un padre sin empleo  [2016],Menores bajo el nivel de pobreza [2015],Mediana de ingresos de familias con menores [2015],Jóvenes entre 16 y 19 años no matriculados y sin empleo [2015],Familias con menores y al menos un padre sin empleo  [2015],[2022] Menores bajo el nivel de pobreza,[2022] PosiciÃ³n: Menores bajo el nivel de pobreza [2022],[2022] Mediana de ingresos de familias con menores,[2022] PosiciÃ³n: Mediana de ingresos de familias con menores,[2022] Jóvenes entre 16 y 19 años no matriculados y sin empleo,[2022] PosiciÃ³n: Jóvenes entre 16 y 19 años no matriculados y sin empleo,[2022] Familias con menores y al menos un padre sin empleo,[2022] PosiciÃ³n: Familias con menores y al menos un padre sin empleo,Menores bajo el nivel de pobreza [2023],PosiciÃ³n: Menores bajo el nivel de pobreza [2023],Mediana de ingresos de familias con menores [2023],PosiciÃ³n: Mediana de ingresos de familias con menores [2023],Jóvenes entre 16 y 19 años no matriculados y sin empleo [2023],PosiciÃ³n: Jóvenes entre 16 y 19 años no matriculados y sin empleo [2023],Familias con menores y al menos un padre sin empleo  [2023],PosiciÃ³n: Familias con menores y al menos un padre sin empleo  [2023]
Alabama,22%,7,"$69,122.00",8,10%,6,32%,23,"$62,404.00",21%,7%,32%,24%,"$62,250.00",9%,33%,25%,"$58,195.00",9%,34%,25%,"$56,758.00",9%,31%,27%,"$53,146.00",7%,35%,22%,7,"$74,605.00",8,7%,22,32%,11,21%,5,"$77,278.00",8,7%,23,30%,14
Alaska,12%,45,"$94,023.00",42,14%,1,35%,10,"$83,674.00",13%,12%,37%,14%,"$90,087.00",10%,34%,15%,"$79,352.00",7%,36%,14%,"$79,496.00",11%,30%,15%,"$75,490.00",9%,33%,14%,29,"$101,944.00",39,8%,9,31%,13,12%,42,"$101,064.00",34,10%,2,35%,1
Arizona,17%,21,"$78,542.00",18,8%,15,35%,11,"$70,158.00",19%,8%,34%,20%,"$65,730.00",8%,35%,21%,"$62,256.00",8%,34%,24%,"$58,124.00",9%,33%,25%,"$55,568.00",9%,36%,16%,23,"$84,585.00",19,8%,11,32%,10,15%,23,"$92,828.00",26,8%,9,31%,10
Arkansas,22%,6,"$63,718.00",4,10%,7,31%,30,"$57,294.00",22%,7%,33%,25%,"$55,613.00",10%,31%,23%,"$53,637.00",8%,33%,24%,"$51,941.00",10%,29%,27%,"$50,342.00",9%,36%,22%,6,"$67,584.00",4,11%,2,33%,8,21%,7,"$72,477.00",4,10%,3,31%,13
California,16%,27,"$93,613.00",40,7%,19,38%,2,"$85,332.00",16%,6%,35%,17%,"$81,362.00",7%,36%,18%,"$76,912.00",7%,36%,20%,"$71,533.00",7%,35%,21%,"$66,372.00",7%,39%,15%,25,"$101,682.00",38,6%,27,33%,7,15%,25,"$104,361.00",37,7%,26,33%,3
Colorado,12%,47,"$102,275.00",45,7%,28,30%,31,"$92,511.00",11%,5%,30%,12%,"$87,689.00",6%,30%,12%,"$82,853.00",6%,31%,13%,"$78,024.00",7%,29%,15%,"$76,594.00",7%,32%,11%,49,"$110,397.00",46,6%,34,27%,30,11%,46,"$118,733.00",47,6%,33,27%,28
Connecticut,13%,41,"$104,959.00",47,4%,48,28%,38,"$98,318.00",14%,4%,26%,14%,"$93,818.00",5%,27%,13%,"$91,086.00",5%,29%,13%,"$92,235.00",5%,27%,15%,"$89,919.00",5%,29%,12%,41,"$114,182.00",47,5%,42,26%,36,13%,33,"$112,837.00",44,5%,37,25%,36
Delaware,17%,23,"$82,087.00",25,5%,44,30%,33,"$77,223.00",16%,6%,26%,19%,"$74,052.00",4%,27%,19%,"$71,041.00",6%,32%,17%,"$70,423.00",8%,24%,19%,"$71,574.00",8%,28%,13%,35,"$97,997.00",35,3%,49,24%,41,15%,24,"$101,056.00",33,5%,39,22%,47
District of Columbia,24%,5,"$132,669.00",52,n/a,,33%,18,"$106,667.00",19%,8%,24%,23%,"$97,321.00",6%,26%,26%,"$95,176.00",8%,31%,26%,"$74,567.00",9%,25%,26%,"$79,677.00",6%,30%,17%,19,"$156,118.00",52,n/a,,25%,38,17%,18,"$163,171.00",52,n/a,n/a,22%,46
Florida,18%,19,"$71,340.00",10,7%,21,32%,26,"$65,772.00",18%,7%,28%,20%,"$62,152.00",7%,32%,20%,"$59,302.00",7%,32%,21%,"$56,947.00",7%,29%,23%,"$52,922.00",8%,33%,17%,17,"$80,392.00",13,7%,20,29%,24,16%,20,"$85,080.00",13,7%,16,29%,21
